Age,BusinessTravel,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,OutstandingPerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Department:HumanResources,Department:ResearchAndDevelopment,Department:Sales,EducationField:HumanResources,EducationField:LifeSciences,EducationField:Marketing,EducationField:Medical,EducationField:Other,EducationField:TechnicalDegree,JobRole:HealthcareRepresentative,JobRole:HumanResources,JobRole:LaboratoryTechnician,JobRole:Manager,JobRole:ManufacturingDirector,JobRole:ResearchDirector,JobRole:ResearchScientist,JobRole:SalesExecutive,JobRole:SalesRepresentative,MaritalStatus:Divorced,MaritalStatus:Married,MaritalStatus:Single,Attrition
33,2,1,3,3,1,4,2,1,5376,2,0,19,0,1,2,10,3,3,5,3,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
35,1,4,2,3,0,3,1,4,1951,1,0,12,0,3,1,1,3,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
27,1,2,4,4,1,3,1,1,2341,1,0,13,0,4,1,1,6,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
26,1,25,3,1,0,1,1,3,2293,1,0,12,0,3,0,1,2,2,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
27,2,8,3,4,0,3,3,3,8726,1,0,15,0,4,0,9,0,3,9,8,1,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
30,2,1,2,3,1,3,2,4,4011,1,0,23,1,4,0,12,2,3,12,8,3,7,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
41,1,12,3,2,1,3,5,3,19545,1,0,12,0,4,0,23,0,3,22,15,15,8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
34,0,23,4,2,0,3,2,3,4568,0,0,20,1,3,0,10,2,3,9,5,8,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
37,1,19,2,2,0,3,1,2,3022,4,0,21,1,1,0,8,1,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
46,2,5,4,1,0,3,2,4,5772,4,1,21,1,3,0,14,4,3,9,6,0,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
35,1,8,1,4,0,4,1,4,2269,1,0,19,0,4,0,1,2,3,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
48,1,1,2,1,0,2,3,3,5381,9,1,13,0,4,0,23,2,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
28,1,5,4,3,0,3,1,3,3441,1,1,13,0,3,0,2,3,2,2,2,2,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
44,1,1,5,2,1,3,2,1,5454,5,1,21,1,3,1,9,2,2,4,3,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
35,0,11,2,3,0,2,3,1,9884,2,1,13,0,3,1,10,3,3,4,0,2,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
26,1,23,3,3,1,2,2,4,4157,7,1,19,0,3,1,5,2,2,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
33,2,1,2,1,1,3,3,4,13458,1,1,12,0,3,0,15,1,3,15,14,8,12,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
35,2,18,5,2,0,3,3,1,9069,1,0,22,1,4,1,9,3,2,9,8,1,8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
35,1,23,4,3,1,3,1,1,4014,3,1,15,0,3,1,4,3,3,2,2,2,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
31,1,7,4,4,0,3,2,4,5915,3,0,22,1,4,1,10,3,2,7,7,1,7,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
37,1,1,4,1,0,2,2,3,5993,1,0,18,0,3,1,7,2,4,7,5,0,7,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
32,1,1,3,1,0,3,2,4,6162,1,1,22,1,2,1,9,3,3,9,8,7,8,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
38,2,29,5,4,1,3,2,4,2406,1,0,11,0,4,0,10,2,3,10,3,9,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
50,1,7,2,2,1,2,5,3,18740,5,1,12,0,4,1,29,2,2,27,3,13,8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
59,1,25,3,1,1,3,3,1,7637,7,0,11,0,4,0,28,3,2,21,16,7,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
36,1,8,3,3,1,3,3,3,10096,1,0,13,0,2,3,17,2,3,17,14,12,8,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
55,1,8,3,4,1,3,4,3,14756,2,1,14,0,3,3,21,2,3,5,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
36,2,11,3,2,0,2,2,2,6499,1,0,13,0,3,0,6,3,3,6,5,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
45,1,7,3,2,0,3,3,1,9724,2,0,17,0,3,1,25,2,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
35,2,1,3,2,0,3,1,1,2194,4,0,13,0,4,1,5,2,2,3,2,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
36,1,9,3,4,0,2,1,3,3388,0,1,17,0,1,1,2,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
59,2,1,1,1,1,2,2,3,5473,7,0,11,0,4,0,20,2,2,4,3,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
29,1,2,3,3,0,3,1,2,2703,0,0,23,1,4,1,6,3,3,5,4,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
31,1,1,4,3,0,3,1,2,2501,1,0,17,0,2,0,1,4,3,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
32,1,1,3,2,0,3,2,2,6220,1,0,17,0,2,2,10,3,3,10,4,0,9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
36,1,6,3,2,1,4,1,4,3038,3,0,12,0,2,0,5,3,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
31,1,8,4,3,1,3,2,4,4424,1,0,23,1,4,0,11,2,3,11,7,1,8,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
35,1,1,4,3,0,2,2,1,4312,0,0,14,0,2,0,16,2,3,15,13,2,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
45,1,6,4,4,0,3,3,1,13245,4,1,14,0,2,0,17,3,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
37,1,7,4,1,0,3,3,3,13664,4,0,13,0,1,0,16,3,4,5,2,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
46,1,5,2,2,0,3,2,2,5021,8,1,22,1,4,1,16,2,3,4,2,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
30,1,1,1,4,0,2,2,4,5126,1,1,12,0,3,2,10,1,2,10,8,3,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
35,1,1,3,2,0,2,1,3,2859,1,0,18,0,1,0,6,3,3,6,4,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
55,1,1,2,1,0,3,3,4,10239,3,0,14,0,4,1,24,4,3,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
38,0,6,3,2,1,1,2,4,5329,7,1,12,0,4,3,17,3,3,13,11,1,9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
34,1,1,2,1,0,3,2,2,4325,1,0,15,0,3,0,5,2,3,5,2,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
56,1,7,3,4,0,1,3,4,7260,4,0,11,0,1,0,37,3,2,6,4,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
23,1,2,1,3,0,3,1,1,2322,3,0,13,0,3,1,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
51,1,9,4,4,0,3,1,4,2075,3,0,23,1,2,2,10,4,3,4,2,0,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
30,1,2,3,3,0,2,2,4,4152,1,0,19,0,1,3,11,3,3,11,10,10,8,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
46,1,9,2,3,0,2,3,4,9619,1,0,16,0,4,0,9,3,3,9,8,4,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
40,2,1,4,3,0,2,4,2,13503,1,0,22,1,4,1,22,3,2,22,3,11,11,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
51,1,21,4,3,0,3,2,4,5441,0,1,22,1,4,0,11,2,1,10,7,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
30,1,4,2,3,1,2,2,2,5209,1,1,12,0,2,3,11,4,2,11,8,2,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
46,2,1,3,3,0,2,3,1,10673,2,1,13,0,3,1,21,5,2,10,9,9,5,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
32,1,6,4,2,0,3,2,3,5010,1,0,16,0,1,0,12,0,3,11,8,5,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
54,1,2,4,1,1,3,3,3,13549,9,0,12,0,1,1,16,5,1,4,3,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
24,1,3,2,1,1,3,2,3,4999,0,0,21,1,1,1,4,2,2,3,2,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
28,0,4,3,2,0,3,2,3,4221,1,0,15,0,2,0,5,3,4,5,4,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
58,1,10,4,4,0,3,4,3,13872,0,0,13,0,3,0,38,1,2,37,10,1,8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
44,0,23,3,2,0,3,2,2,2042,4,0,12,0,3,1,17,3,4,3,2,1,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
37,1,6,4,3,0,3,1,1,2073,4,1,22,1,4,0,7,3,3,3,2,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
32,1,1,1,4,0,3,1,1,2956,1,0,13,0,4,0,1,2,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
20,2,6,3,4,1,2,1,4,2926,1,1,18,0,2,0,1,5,3,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
34,1,6,4,1,1,3,2,3,4809,1,0,14,0,3,0,16,3,3,16,13,2,10,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
37,0,2,2,3,0,2,2,4,5163,5,0,14,0,4,1,17,2,4,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
59,0,2,4,3,1,2,5,4,18844,9,0,21,1,4,1,30,3,3,3,2,2,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
50,2,1,3,1,1,3,5,2,18172,3,1,19,0,1,0,28,1,2,8,3,0,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
25,1,5,3,3,0,2,2,3,5744,1,1,11,0,4,0,6,1,3,6,4,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
25,1,7,1,4,0,2,1,4,2889,1,0,11,0,3,2,2,2,3,2,2,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
22,1,15,3,2,1,3,1,4,2871,1,0,15,0,3,0,1,5,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
51,2,1,4,1,1,2,3,1,7484,3,0,20,1,3,0,23,1,2,13,12,12,8,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
34,2,7,3,1,0,1,2,3,6074,1,1,24,1,4,0,9,3,3,9,7,0,6,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
54,0,26,3,4,1,4,4,4,17328,2,1,12,0,3,0,23,3,3,5,3,4,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
24,1,18,1,2,0,3,1,3,2774,0,0,12,0,3,1,6,2,3,5,3,1,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
34,1,6,4,3,1,2,2,2,4505,6,0,15,0,3,1,12,3,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
37,1,3,3,3,0,3,3,4,7428,2,0,12,0,1,0,12,3,3,5,3,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
34,1,5,3,3,1,2,3,1,11631,2,0,12,0,4,0,14,6,3,11,10,5,8,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
36,2,11,2,2,1,3,3,4,9738,0,0,14,0,3,1,10,6,3,9,7,2,8,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
36,1,3,2,1,1,3,1,4,2835,5,0,22,1,1,1,7,2,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
43,2,26,2,3,0,3,4,4,16959,1,1,12,0,4,2,25,3,4,25,12,4,12,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
30,2,23,3,1,0,1,1,3,2613,1,0,25,1,3,3,10,2,2,10,7,0,9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
33,0,22,2,3,0,3,2,2,6146,0,0,13,0,1,1,8,2,4,7,7,0,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
56,1,14,4,2,1,3,1,2,4963,9,1,18,0,1,3,7,2,3,5,4,4,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
51,1,6,3,1,0,3,5,3,19537,7,0,13,0,3,0,23,5,3,20,18,15,15,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
31,1,6,4,2,0,1,2,3,6172,4,1,18,0,2,0,12,3,2,7,7,7,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
26,1,6,3,3,1,2,1,2,2368,1,0,19,0,3,0,5,3,2,5,4,4,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
58,1,23,4,4,1,3,3,4,10312,1,0,12,0,4,1,40,3,2,40,10,15,6,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
19,1,22,1,4,0,3,1,3,1675,1,1,19,0,4,0,0,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
22,1,2,1,3,0,3,1,4,2523,0,0,14,0,3,1,3,2,3,2,1,2,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
49,1,20,4,3,1,3,2,1,6567,1,0,14,0,3,0,16,2,2,15,11,5,11,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
43,2,28,3,2,1,4,1,3,4739,4,0,12,0,4,0,18,2,3,3,2,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
50,2,12,3,3,1,3,3,4,9208,4,0,11,0,4,0,16,3,3,2,2,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
31,1,20,3,2,1,1,2,3,4559,3,1,11,0,3,1,4,2,3,2,2,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
41,1,9,1,3,0,3,3,3,8189,3,1,13,0,3,1,12,2,3,9,7,0,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
26,1,25,1,3,1,3,1,3,2942,1,0,23,1,4,1,8,3,3,8,7,5,7,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
36,1,6,2,2,0,3,2,2,4941,6,0,20,1,4,2,7,0,3,3,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
51,2,8,4,1,0,1,3,4,10650,2,0,15,0,4,0,18,2,3,4,2,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
39,1,4,4,4,1,2,2,3,5902,4,0,14,0,3,1,17,1,4,15,11,5,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
25,1,28,3,1,0,2,2,3,8639,2,0,18,0,4,0,6,3,3,2,2,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
30,1,9,3,3,0,3,2,4,6347,0,1,19,0,4,0,12,2,1,11,9,4,7,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
32,1,9,3,1,1,3,1,1,4200,7,0,22,1,1,0,10,2,4,5,4,0,4,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
45,1,29,3,3,0,3,1,4,3452,5,0,13,0,2,0,9,2,2,6,5,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
38,1,3,5,4,1,3,2,3,4317,3,1,20,1,2,0,19,2,3,3,2,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
